d,l1,l2,w1,w2,w3
0.002,0.1,0.2,11.4224,71.239,89.85
0.002,0.15,0.25,11.4234,71.025,89.87
0.002,0.2,0.3,11.4241,71.256,89.87
0.002,0.25,0.35,11.424,71.255,89.86
0.002,0.3,0.4,11.4239,71.236,89.84
0.002,0.35,0.45,11.4254,71.256,89.82
0.002,0.4,0.5,11.4246,71.237,89.84
0.002,0.45,0.55,11.4257,71.248,89.83
0.0021,0.1,0.2,11.4167,71.177,89.72
0.0021,0.15,0.25,11.4177,71.192,89.74
0.0021,0.2,0.3,11.4182,71.196,89.74
0.0021,0.25,0.35,11.4181,71.195,89.73
0.0021,0.3,0.4,11.417,71.18,89.7
0.0021,0.35,0.45,11.4193,71.196,89.73
0.0021,0.4,0.5,11.4185,71.181,89.71
0.0021,0.45,0.55,11.4196,71.19,89.74
0.0022,0.1,0.2,11.3117,71.1649,89.6657
0.0022,0.15,0.25,11.3127,71.173,89.68
0.0022,0.2,0.3,11.3132,71.177,89.68
0.0022,0.25,0.35,11.3131,71.176,89.67
0.0022,0.3,0.4,11.312,71.167,89.64
0.0022,0.35,0.45,11.3143,71.177,89.67
0.0022,0.4,0.5,11.3131,71.168,86.65
0.0022,0.45,0.55,11.3142,71.171,89.68
0.0023,0.1,0.2,11.2537,71.058,89.404
0.0023,0.15,0.25,11.2547,71.072,89.42
0.0023,0.2,0.3,11.255,71.076,89.42
0.0023,0.25,0.35,11.2551,71.075,89.41
0.0023,0.3,0.4,11.254,71.066,89.38
0.0023,0.35,0.45,11.2563,71.076,89.41
0.0023,0.4,0.5,11.2555,71.077,89.37
0.0023,0.45,0.55,11.2566,71.07,89.42
0.0024,0.1,0.2,11.2701,71.055,89.3756
0.0024,0.15,0.25,11.2713,71.065,89.382
0.0024,0.2,0.3,11.2728,71.072,89.393
0.0024,0.25,0.35,11.2736,71.076,89.408
0.0024,0.3,0.4,11.2744,71.079,89.417
0.0024,0.35,0.45,11.2759,71.08,89.423
0.0024,0.4,0.5,11.2738,71.065,89.407
0.0024,0.45,0.55,11.274,71.07,89.415
0.0025,0.1,0.2,11.2127,71.0774,89.25
0.0025,0.15,0.25,11.2137,71.086,89.27
0.0025,0.2,0.3,11.2142,71.09,89.27
0.0025,0.25,0.35,11.2141,71.089,89.26
0.0025,0.3,0.4,11.213,71.08,89.23
0.0025,0.35,0.45,11.2153,71.09,89.26
0.0025,0.4,0.5,11.2145,71.081,89.24
0.0025,0.45,0.55,11.2156,71.084,89.27
